name,date,export_date,opened,free_places,places
name,date,opened,free_places,places
GARD,2023-01-12T09:33:58,True,206,395
GARD,2023-01-12T09:33:58,True,206,395
GARD,2023-01-12T09:33:58,True,206,395
GARD,2023-01-12T10:23:58,True,198,395
GARD,2023-01-12T10:23:58,True,198,395
GARD,2023-01-12T10:23:58,True,198,395
GARD,2023-01-12T10:23:58,True,198,395
GARD,2023-01-12T10:28:52,True,198,395
GARD,2023-01-12T10:28:52,True,198,395
GARD,2023-01-12T10:28:52,True,198,395
GARD,2023-01-12T10:33:56,True,198,395
GARD,2023-01-12T10:33:56,True,198,395
GARD,2023-01-12T10:33:56,True,198,395
GARD,2023-01-12T10:48:57,True,196,395
GARD,2023-01-12T13:53:57,True,202,395
GARD,2023-01-12T13:58:52,True,201,395
GARD,2023-01-12T13:58:52,True,201,395
GARD,2023-01-12T13:58:52,True,201,395
GARD,2023-01-12T19:18:52,True,276,395
GARD,2023-01-12T19:18:52,True,276,395
GARD,2023-01-12T19:18:52,True,276,395
GARD,2023-01-12T19:18:52,True,276,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:23:57,True,278,395
GARD,2023-01-12T19:28:53,True,280,395
GARD,2023-01-12T19:28:53,True,280,395
GARD,2023-01-12T19:28:53,True,280,395
GARD,2023-01-12T19:28:53,True,280,395
GARD,2023-01-12T19:28:53,True,280,395
GARD,2023-01-12T19:28:53,True,280,395
GARD,2023-01-12T19:28:53,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:33:58,True,280,395
GARD,2023-01-12T19:38:54,True,281,395
GARD,2023-01-12T19:38:54,True,281,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:43:49,True,282,395
GARD,2023-01-12T19:58:57,True,281,395
GARD,2023-01-12T19:58:57,True,281,395
GARD,2023-01-12T19:58:57,True,281,395
GARD,2023-01-12T19:58:57,True,281,395
GARD,2023-01-12T19:58:57,True,281,395
GARD,2023-01-12T19:58:57,True,281,395
GARD,2023-01-12T19:58:57,True,281,395
GARD,2023-01-12T20:03:53,True,281,395
GARD,2023-01-12T20:03:53,True,281,395
GARD,2023-01-12T20:03:53,True,281,395
GARD,2023-01-12T20:03:53,True,281,395
GARD,2023-01-12T20:03:53,True,281,395
